date,maxtp,mintp,igmin,gmin,cbl,wdsp,hm,ddhm,hg,sun,dos,g_rad,soil,pe,evap,smd_wd,smd_md,smd_pd,Rainy
1-Jan-01,10.9,4.6,0,1.5,965.7,10,18,190,26,0.4,0,175,4.8,0.5,0.6,0,-1,-10,1
2-Jan-01,8.9,1,1,-0.2,972,9.7,20,280,29,0,0,154,5.025,0.4,0.5,0,-1.2,-10,1
3-Jan-01,7.8,1.1,1,-1,977,10.3,16,220,23,0.1,0,119,3.3,0.4,0.5,0,-4.3,-10,1
4-Jan-01,6.9,-0.2,1,-0.5,975.5,6.1,12,250,16,0.5,0,196,3.925,0.1,0.1,0,0,-9.5,-1
5-Jan-01,2.2,-1.3,1,-5.7,977.4,7.1,14,250,19,0,0,170,2.575,0.1,0.1,0,0,-9.1,-1
6-Jan-01,6.5,2,1,-1.5,986.2,14.7,19,260,26,6.5,0,345,3.075,0.3,0.3,0.2,0.2,-8.4,-1
7-Jan-01,5.5,1,1,-1,996.1,16.8,23,260,33,0.4,0,164,2.575,0.4,0.6,0.5,0.5,-7.7,-1
8-Jan-01,5.5,0.7,1,-1.5,1002.5,8.9,15,260,21,6.3,0,368,2.55,0.1,0.1,0.6,0.6,-7.2,-1
9-Jan-01,5.6,-2.1,1,-6.9,1002.4,4.5,11,60,16,0.2,0,188,2.275,0.1,0.2,0,-0.2,-7.6,-1
10-Jan-01,5.6,3.5,1,-5.9,1007.6,13.7,19,60,30,0.1,0,115,3.35,0.8,1.1,0,0,-7.2,-1
11-Jan-01,5.9,3.5,0,1,1014.7,19.6,26,70,39,0.8,0,168,2.925,1.4,2,1.4,1.4,-5.5,-1
12-Jan-01,6.4,1.5,0,2.9,1017.6,14.6,21,80,31,4.3,0,369,3.225,0.6,0.7,2,2,-4.6,-1
13-Jan-01,6.4,-2.7,1,-6.1,1021.2,6,13,140,19,6.9,0,423,1.8,0.1,0.1,2,2,-4.4,-1
14-Jan-01,6.5,-2.8,1,-9.4,1022.2,5.7,14,130,21,7.4,0,422,1.025,0.1,0.2,2.1,2.1,-4,-1
15-Jan-01,5.2,-3,1,-7.2,1015.3,4.9,12,140,16,3.9,0,328,0.9,0.2,0.3,2.3,2.3,-3.6,-1
16-Jan-01,2.9,-4.6,1,-9.3,1010.7,3.8,8,110,11,0,0,103,0.8,0.2,0.3,2.6,2.6,-3.2,-1
17-Jan-01,5.6,-0.8,1,-5.3,1008.2,6.4,11,120,17,6.7,0,421,1,0.4,0.4,2.9,2.9,-2.7,-1
18-Jan-01,5.2,-0.5,1,-6,1008.8,3.9,7,40,11,0,0,186,1.075,0.3,0.4,3.2,3.2,-2.2,-1
19-Jan-01,4.2,0.5,1,-1.4,1012.5,2.7,6,80,8,0,0,106,1.8,0.3,0.4,3.5,3.5,-1.8,-1
20-Jan-01,5.3,-3.3,1,-9.3,1008.7,9.5,22,140,33,1.9,0,300,1.5,0.2,0.2,3.1,3.1,-2.2,-1
21-Jan-01,8.5,4.6,1,-5.2,996.7,10.4,25,140,35,0.7,0,230,3.825,0.4,0.6,0.7,0.7,-4.4,1
22-Jan-01,9.4,4.2,0,1.4,981.1,16.4,30,140,43,0.7,0,108,5.025,0.5,0.8,0,-6.5,-10,1
23-Jan-01,11.6,5.5,0,1,964.3,14.9,25,140,39,1.6,0,187,4.925,0.8,1,0,-3.2,-10,1
24-Jan-01,7.8,2.2,0,0.5,969,15.3,22,250,33,3.6,0,335,4.025,0.8,1.1,0.3,0.3,-9.2,-1
25-Jan-01,6.4,1.8,1,-0.6,976.7,14,25,220,36,0.6,0,246,2.725,0.7,0.9,0.6,0.6,-8.4,-1
26-Jan-01,5.9,0.7,1,-0.8,981.2,14.5,19,240,29,7.1,0,519,2.675,0.5,0.6,1.1,1.1,-7.5,-1
27-Jan-01,6.4,-1,1,-1.8,986.7,10,19,250,25,2.7,0,430,2.2,0.4,0.5,1.3,1.3,-7,-1
28-Jan-01,2.1,-3.1,1,-7.9,998.4,7.6,12,260,16,2,0,404,1.775,0,0.1,1.3,1.3,-6.6,-1
29-Jan-01,6.5,-1.8,1,-4.7,1007,7.8,12,140,16,3.3,0,387,1.8,0.2,0.3,0,-2.9,-10,1
30-Jan-01,9.4,5.6,1,-2.2,1005.7,8.6,14,260,19,0.1,0,288,4.625,0.4,0.5,0.1,0.1,-9.4,-1
31-Jan-01,8.5,5.3,0,4.1,1013.6,6.2,11,120,14,0,0,252,5.6,0.3,0.4,0,-0.3,-9.4,-1
1-Feb-01,10.2,5,0,2.8,1012.5,9,13,150,19,0,0,189,5.875,0.5,0.7,0,-0.9,-9.8,1
2-Feb-01,8.5,3.9,0,2.4,1000.9,8.7,16,230,24,0,0,239,5.65,0.3,0.5,0,-3.1,-10,1
3-Feb-01,8.3,2.1,0,1.1,993.2,9.1,15,230,24,4.9,0,536,5.325,0.3,0.4,0.2,0.2,-9.3,-1
4-Feb-01,6.3,2.5,1,-2.8,982.8,7.3,16,90,22,0,0,155,4.875,0.3,0.5,0,-8.8,-10,1
5-Feb-01,8.4,0.7,1,-1,973,6.2,23,250,30,1,0,198,4.65,0.4,0.6,0,-8.1,-10,1
6-Feb-01,9.9,6.3,0,1.1,967.8,22,35,210,51,4.5,0,558,5.55,0.9,1.3,0,-1.3,-10,1
7-Feb-01,7.8,0.8,0,4.5,980,8.2,20,230,29,0,0,249,5.525,0.6,0.7,0,-2.1,-10,1
8-Feb-01,4.6,-0.7,1,-2.5,995.7,8.2,12,340,19,6.6,0,640,3.075,0.6,0.8,0.6,0.6,-8.9,-1
9-Feb-01,6.7,-2.4,1,-5.4,1006.4,8.8,21,160,32,7.4,0,707,2.45,0.6,0.9,0,-0.5,-9.6,1
10-Feb-01,13.1,3.7,1,-2.3,1001.7,18.5,24,220,37,0,0,294,4.95,0.9,1.3,0,-3.5,-10,1
11-Feb-01,11.5,6.5,0,6.8,1004.5,15.7,24,220,38,0,0,317,6.7,1.1,1.5,0.6,0.6,-8.9,-1
12-Feb-01,10,-0.8,0,3.9,1017.2,7.8,17,320,24,7.1,0,747,5.875,0.6,0.9,1.2,1.2,-7.9,-1
13-Feb-01,10.4,-2.1,1,-8,1025.7,3.1,8,240,10,8.3,0,766,3.8,0.5,0.8,1.7,1.7,-7,-1
14-Feb-01,11.8,-4,1,-11.1,1021.2,4.5,14,140,19,8.8,0,846,2.825,0.7,1,2.4,2.4,-5.9,-1
15-Feb-01,7.6,1.5,1,-4.7,1022.2,5.9,11,260,14,0,0,232,3.4,0.4,0.6,2.7,2.7,-5.3,-1
16-Feb-01,7.4,-2.4,1,-6.6,1028.5,4.7,9,260,11,7.7,0,807,3.275,0.5,0.7,3.1,3.1,-4.6,-1
17-Feb-01,7.3,-4.8,1,-10.8,1032.9,3.5,8,140,12,9.1,0,861,2.5,0.5,0.7,3.6,3.6,-3.9,-1
